target,b,ari,nmi
l1,2,0.10829345217975003,0.2538471629862997
l1,4,0.16834702710481939,0.3575187897160638
l1,8,0.14659164258352064,0.28955368842100654
l1,16,0.12561770156823038,0.31386333522088583
gradient,2,0.008143366403950627,0.01369883931440188
gradient,4,0.013865373115274056,0.03726410544057395
gradient,8,0.041769736830464615,0.08844843143872683
gradient,16,0.04529425646527208,0.12044112095187716
