kind,b,n_train,n_val,top1,top2,macro_f1,weighted_f1,ari,nmi,chance_acc,dummy_val_acc,seconds
tree,2,900000,100000,0.95893,1.0,0.9479744601479316,0.9588132561400846,0.8351578608541678,0.7157201277127194,0.5,0.727,64.1050127199851
xgb,2,900000,100000,0.98587,1.0,0.9821889951342389,0.9858650607928374,0.941792058065719,0.8761935695705767,0.5,0.727,12.940932690049522
tree,4,900000,100000,0.90624,0.97651,0.883674417935388,0.9062063124605336,0.7881533905271754,0.6786859954787616,0.25,0.54157,61.90774265292566
xgb,4,900000,100000,0.96701,0.99871,0.9591412584347061,0.9669981978597088,0.9212368342637478,0.8563429570087656,0.25,0.54157,25.27139789494686
tree,8,900000,100000,0.79449,0.90932,0.797975652134409,0.7943885257793851,0.5952618684089062,0.5902735339119637,0.125,0.24846,57.34238652396016
xgb,8,900000,100000,0.93004,0.99179,0.9294212426214439,0.930005004223489,0.8500651177117552,0.8176640183026432,0.125,0.24846,50.10716230701655
tree,16,900000,100000,0.7044,0.83091,0.704897904523766,0.7038974715209799,0.5119340207505172,0.5510423953585301,0.0625,0.17248,55.20416386495344
xgb,16,900000,100000,0.89102,0.98201,0.8865605778882909,0.8909058235468379,0.7991990437654993,0.7885333232499866,0.0625,0.17248,100.4111739989603
