kind,b,n_train,n_val,top1,top2,macro_f1,weighted_f1,ari,nmi,chance_acc,dummy_val_acc,seconds
linear,2,900000,100000,0.9932000041007996,1.0,0.9914317720749923,0.9931989101351171,0.9717830601673765,0.9318921349019437,0.5,0.727,8.755429776967503
mlp64,2,900000,100000,0.9935099482536316,1.0,0.9918048020267621,0.9935019627849558,0.9730412008649202,0.9349929376186696,0.5,0.727,10.240319791948423
linear,4,900000,100000,0.9877599477767944,0.9998199939727783,0.9855605115935628,0.9877648519053153,0.9686600771648243,0.9372511459258154,0.25,0.54157,5.7233657139586285
mlp64,4,900000,100000,0.990149974822998,0.9998700022697449,0.9883674643975001,0.990155235921081,0.9748539423972835,0.9473360997609075,0.25,0.54157,10.29570647305809
linear,8,900000,100000,0.9775999784469604,0.999459981918335,0.9761280437265969,0.9775936263603452,0.9522895782625023,0.9288464649517544,0.125,0.24846,7.036122643039562
mlp64,8,900000,100000,0.9797099828720093,0.9993000030517578,0.9782942210836757,0.9796991965071942,0.9569656183460464,0.9350296298171046,0.125,0.24846,8.225266924011521
linear,16,900000,100000,0.9667199850082397,0.9983999729156494,0.9622653977770206,0.9667069029550228,0.9372819345021535,0.9224154386787243,0.0625,0.17248,8.568115800037049
mlp64,16,900000,100000,0.9706599712371826,0.9986499547958374,0.966030376091577,0.9705987174698854,0.9453559569046952,0.9311659810174523,0.0625,0.17248,9.523963790968992
