representation,b,n_rows,feature_dim,top1_acc,ari,nmi,macro_f1,weighted_f1,kmeans_sizes,cosine_sizes,seconds
board,2,1000000,1688,0.945722,0.7908823749451563,0.6696181540186168,0.937273738857123,0.9459036751144149,687443|312557,679551|320449,3.5476957629434764
board,4,1000000,1688,0.897658,0.731409929412853,0.7001563943978912,0.8954065205354984,0.8972592798137873,290592|430686|74247|204475,282647|400591|84837|231925,8.716873892000876
board,8,1000000,1688,0.874777,0.7014725931832417,0.7630310508276562,0.8939905902820084,0.8736397546579466,145580|285414|93338|61781|70197|74896|103912|164882,158331|228573|99922|66555|73236|80422|118568|174393,11.861511206952855
board,16,1000000,1688,0.8167,0.6203633375258354,0.7230323851976803,0.8369219631416801,0.8123184969808076,63432|70349|35985|17176|41505|83201|82089|33598|50283|107471|158914|37556|55711|60442|53328|48960,66384|79169|45575|18404|43522|78140|87472|35141|57293|96027|106268|47133|60798|68486|56999|53189,12.841369027970359
l1,2,1000000,256,0.979191,0.915515370548496,0.845985861971781,0.9743700502162798,0.9793730209975683,725039|274961,708664|291336,1.1978183470200747
l1,4,1000000,256,0.963125,0.9093706566983558,0.8556992700375312,0.955840309047607,0.9633812944471105,219007|136048|540530|104415,223153|146727|522139|107981,1.6607818560441956
l1,8,1000000,256,0.948239,0.8934187306891019,0.872479665306294,0.9440599168391514,0.9487840229880097,44089|77838|154182|142174|72832|117407|249154|142324,44780|87914|155352|130753|89154|116503|237673|137871,1.8351013470673934
l1,16,1000000,256,0.93965,0.891765462973419,0.8843358042879735,0.9264718029729933,0.9402769891769994,30869|41636|84555|172621|22562|72386|23274|14847|90771|75393|43379|74173|67695|34001|68451|83387,31064|41335|85342|163434|29297|71993|27311|17051|84985|75519|46401|74860|68988|32218|66564|83638,2.0123927670065314
