python3.12 -u scripts/train_nnue-gpu.py --epochs 100 --lr 0.01 --lr-end 0.001 --hidden-dim 32 --hidden2-dim 64 --test-fraction 0.01 --batch-size 10000 --batches-per-epoch 512 --train-val-subset-size 10000 --run-name dual_h128_H256_e100_bpe512_bs10000 --plot plots/dual_h128_H256_e100_bpe512_bs10000.png

n_data,train_ce,test_ce
91849,0.601586,0.965042
152985,0.631279,0.852710
301910,0.633161,0.741653
592893,0.666047,0.715363
1181182,0.663809,0.681386
1771250,0.652196,0.672508
2947610,0.667379,0.673866
5938002,0.653697,0.666961
8915143,0.660521,0.661898
14261964,0.662650,0.664132 
29034555,0.653647,0.661154
43807826,0.657414,0.662564 
58563546,0.663277,0.663369
73399202,0.658607,0.659806
88153946,0.661189,0.660458
104982436,0.666379,0.661025
